X,Y,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Name,sector_name,Street_Address,City,County,State,Zip,PrimSource,source_desc,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
-16445791.9855,9568380.1491,35896,79,Aurora Energy LLC Chena,986,Aurora Energy LLC,IPP CHP,1206 First Ave.,Fairbanks,Fairbanks North Star,Alaska,99701,coal,Coal = 25.7 MW,Conventional Steam Coal,27.5,25.7,,,25.7,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-147.735063,64.847743
-14660438.5262,7431540.8454,35898,85,S W Bailey,10210,Ketchikan Public Utilities,Electric Utility,3935 Tongass Ave.,Ketchikan,Ketchikan Gateway,Alaska,99901,petroleum,Petroleum = 23 MW,Petroleum Liquids,25.9,23,,,,,,,,,23,,,,"EIA-860, EIA-860M and EIA-923",202406,-131.69696,55.357397
-18415562.6565,9479263.4957,35900,90,Snake River,13642,Nome Joint Utility Systems,Electric Utility,1226 Port Road,Nome,Nome,Alaska,99762,petroleum,"Petroleum = 16.4 MW, Wind = 1.8 MW",Petroleum Liquids; Onshore Wind Turbine;,18.4,18.2,,,,,,,,,16.4,,1.8,,"EIA-860, EIA-860M and EIA-923",202406,-165.429814,64.505331
-14800715.6675,7721594.558,35901,91,Petersburg,14856,Petersburg Borough - (AK),Electric Utility,11 S. Nordic Drive,Petersburg,Wrangell Petersburg,Alaska,99833,petroleum,"Hydroelectric = 1.8 MW, Petroleum = 10.8 MW",Conventional Hydroelectric; Petroleum Liquids;,14.7,12.6,,,,,1.8,,,,10.8,,,,"EIA-860, EIA-860M and EIA-923",202406,-132.957091,56.81104
-16635029.2199,8428944.0899,35902,92,Seward (AK),16955,City of Seward - (AK),Electric Utility,605 SeaLion Avenue,Seward,Kenai Peninsula,Alaska,99664,petroleum,Petroleum = 15.6 MW,Petroleum Liquids,15.6,15.6,,,,,,,,,15.6,,,,"EIA-860, EIA-860M and EIA-923",202406,-149.43501,60.130922
-14736411.741,7650735.6367,35904,95,Wrangell,21015,City of Wrangell - (AK),Electric Utility,1043 Case Ave,Wrangell,Wrangell Petersburg,Alaska,99929,petroleum,Petroleum = 12 MW,Petroleum Liquids,12,12,,,,,,,,,12,,,,"EIA-860, EIA-860M and EIA-923",202406,-132.379439,56.460976
-16813206.0837,8668680.287,35905,96,Beluga,3522,Chugach Electric Assn Inc,Electric Utility,Beluga Power Plant,Beluga,Kenai Peninsula,Alaska,99682,natural gas,Natural Gas = 300.4 MW,Natural Gas Fired Combustion Turbine,312.4,300.4,,,,,,,300.4,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-151.0356,61.1861
-13621609.4909,5955096.4539,35906,99,Frederickson,15500,Puget Sound Energy Inc,Electric Utility,4714 192nd St East,Tacoma,Pierce,Washington,98446,natural gas,Natural Gas = 134 MW,Natural Gas Fired Combustion Turbine,177.8,134,,,,,,,134,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-122.365,47.079722
-11240207.2841,4569654.7807,35909,108,Holcomb,18315,Sunflower Electric Power Corp,Electric Utility,2440 Holcomb Lane,Holcomb,Finney,Kansas,67851,coal,Coal = 358.9 MW,Conventional Steam Coal,348.7,358.9,,,358.9,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-100.9725,37.9308
-17640643.5248,8189668.0347,35910,109,Dillingham,13870,"Nushagak Electric Coop, Inc",Electric Utility,557 Kenny Wren Rd.,Dillingham,Dillingham,Alaska,99576,petroleum,Petroleum = 11 MW,Petroleum Liquids,11,11,,,,,,,,,11,,,,"EIA-860, EIA-860M and EIA-923",202406,-158.468597,59.042914
